Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Day of the Week,Outcome Day of the Week
A058819,Buddy,Cat,Neutered Male,,,Domestic Shorthair,Black,981020039171813,12/21/2020,Foster,Over the Counter,Foster,Adoption,12/21/2020,Monday,Monday
A058824,Bentley,Dog,Male,9,,Maltese,White,026075548,06/21/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,06/21/2021,Monday,Monday
A058836,Zoey,Cat,Spayed Female,11,,Domestic Shorthair,Brown Tabby,4459-2020,10/08/2020,Transfer,Transfer,Transfer,Rescue Group,11/18/2020,Thursday,Wednesday
A058840,Kenny Powers,Dog,Neutered Male,3,,Pit Bull,Black,981020039179967,10/08/2020,Stray,Animal Control,Foster,Adoption,01/22/2021,Thursday,Friday
A058840,Kenny Powers,Dog,Neutered Male,3,,Pit Bull,Black,981020039179967,01/26/2021,Foster,Over the Counter,Foster,M/L DOG,02/10/2021,Tuesday,Wednesday
A058840,Kenny Powers,Dog,Neutered Male,3,,Pit Bull,Black,981020039179967,03/02/2021,Foster,Over the Counter,Foster,Adoption,03/22/2021,Tuesday,Monday
A058840,Kenny Powers,Dog,Neutered Male,3,,Pit Bull,Black,981020039179967,03/27/2021,Foster,Over the Counter,Adoption,Walk-In,03/27/2021,Saturday,Saturday
A058844,Herbert,Dog,Neutered Male,10,,Chihuahua Short Hair,Tan,981020037671110,11/21/2020,Foster,,Adoption,Walk-In,12/01/2020,Saturday,Tuesday
A058844,Herbert,Dog,Neutered Male,10,,Chihuahua Short Hair,Tan,981020037671110,11/10/2020,Owner Surrendered,Over the Counter,Foster,,11/19/2020,Tuesday,Thursday
A058878,Clove,Cat,Spayed Female,,,Domestic Shorthair,White,,12/18/2020,Foster,Over the Counter,Foster,Adoption,12/18/2020,Friday,Friday
A058878,Clove,Cat,Spayed Female,,,Domestic Shorthair,White,981020039195248,02/03/2021,Foster,Over the Counter,Adoption,Walk-In,02/03/2021,Wednesday,Wednesday
A058890,Lilly Kate,Cat,Spayed Female,,,Domestic Medium Hair,Black,981020039185055,11/28/2020,Foster,,Euthanized,Vet Clinic,11/28/2020,Saturday,Saturday
A058903,Nitro,Cat,Neutered Male,2,,Domestic Shorthair,Black,981020039170629,12/11/2020,Foster,Over the Counter,Adoption,,12/18/2020,Friday,Friday
A058931,Logan,Dog,Neutered Male,13,,Labrador Retriever,Brown,981020039158837,10/18/2020,Owner Surrendered,OTC APPT,Adoption,Walk-In,11/25/2020,Sunday,Wednesday
A058941,Tigre,Cat,Neutered Male,,1.0,Domestic Shorthair,Brown Tabby,981020039166856,12/08/2020,Foster,Over the Counter,Foster,Adoption,12/09/2020,Tuesday,Wednesday
A058941,Tigre,Cat,Neutered Male,,1.0,Domestic Shorthair,Brown Tabby,981020039166856,12/15/2020,Foster,Over the Counter,Adoption,Walk-In,12/15/2020,Tuesday,Tuesday
A058944,Penelope,Cat,Spayed Female,,5.0,Domestic Shorthair,Brown Tabby,981020039186791,12/01/2020,Foster,Over the Counter,Adoption,Walk-In,12/15/2020,Tuesday,Tuesday
A058993,Wally,Dog,Neutered Male,12,,Labrador Retriever,Black,981020045315721,02/28/2022,Foster,Over the Counter,Adoption,Walk-In,02/28/2022,Monday,Monday
A058993,Wally,Dog,Neutered Male,12,,Labrador Retriever,Black,981020045315721,01/14/2022,Confiscated,Owner Evicted,Foster,M/L DOG,02/07/2022,Friday,Monday
A059003,Black Bear,Cat,Spayed Female,,2.35,Domestic Shorthair,Black,981020039189217,10/27/2020,Stray,Animal Control,Adoption,Website Information,11/20/2020,Tuesday,Friday
A059003,Black Bear,Cat,Spayed Female,,2.35,Domestic Shorthair,Black,981020039189217,08/08/2021,Owner Surrendered,Over the Counter,Adoption,,08/22/2021,Sunday,Sunday
A059013,Piper,Cat,Spayed Female,1,,Domestic Shorthair,Torbie,981020039175595,12/02/2020,Foster,Over the Counter,Foster,Adoption,12/13/2020,Wednesday,Sunday
A059013,Piper,Cat,Spayed Female,1,,Domestic Shorthair,Torbie,981020039175595,12/14/2020,Foster,Over the Counter,Adoption,Website Information,12/15/2020,Monday,Tuesday
A059020,Storm,Cat,Spayed Female,,0.65,Domestic Shorthair,Gray,981020039188943,10/29/2020,Stray,Over the Counter,Foster,Adoption,12/16/2020,Thursday,Wednesday
A059020,Storm,Cat,Spayed Female,,0.65,Domestic Shorthair,Gray,981020039188943,01/12/2021,Foster,Over the Counter,Adoption,Walk-In,01/12/2021,Tuesday,Tuesday
A059022,Tabby,Cat,Spayed Female,4,,Domestic Shorthair,Orange,981020017709115,10/30/2020,Stray,Over the Counter,Adoption,Walk-In,12/06/2020,Friday,Sunday
A059040,Juliet,Dog,Spayed Female,,2.0,Pit Bull,Gray,981020039195122,12/28/2020,Foster,Over the Counter,Adoption,Website Information,12/28/2020,Monday,Monday
A059040,Juliet,Dog,Spayed Female,,2.0,Pit Bull,Gray,981020039195122,12/03/2020,Foster,Over the Counter,Foster,Adoption,12/03/2020,Thursday,Thursday
A059044,Godzilla,Dog,Male,3,,American Pit Bull Terrier,Chocolate,61055,05/10/2021,Stray,Animal Control,Return to Owner,,05/14/2021,Monday,Friday
A059046,Tank,Dog,Neutered Male,,15.0,Pit Bull,Tan,,05/10/2021,Stray,Animal Control,Return to Owner,,05/14/2021,Monday,Friday
A059046,Tank,Dog,Neutered Male,,15.0,Pit Bull,Tan,981020023553438,05/15/2021,Foster,Over the Counter,Foster,Adoption,05/15/2021,Saturday,Saturday
A059046,Tank,Dog,Neutered Male,,15.0,Pit Bull,Tan,981020023553438,05/14/2021,Owner Surrendered,Over the Counter,Foster,FIELD TRIP,05/15/2021,Friday,Saturday
A059046,Tank,Dog,Neutered Male,,15.0,Pit Bull,Tan,981020023553438,05/25/2021,Foster,Over the Counter,Adoption,Walk-In,05/25/2021,Tuesday,Tuesday
A059054,Falco,Cat,Spayed Female,,0.5,Domestic Shorthair,Dilute Calico,981020039189989,01/06/2021,Foster,Over the Counter,Foster,Adoption,01/07/2021,Wednesday,Thursday
A059054,Falco,Cat,Spayed Female,,0.5,Domestic Shorthair,Dilute Calico,981020039189989,02/03/2021,Foster,Over the Counter,Adoption,Walk-In,02/03/2021,Wednesday,Wednesday
A059075,Miguel,Cat,Neutered Male,2,,Domestic Shorthair,Orange Tabby,982000357684922,12/23/2020,Stray,Over the Counter,Adoption,Walk-In,01/03/2021,Wednesday,Sunday
A059099,,Cat,Neutered Male,,2.0,Domestic Shorthair,Brown Tabby,981020039188675,12/06/2020,Foster,Over the Counter,Foster,Adoption,12/06/2020,Sunday,Sunday
A059099,,Cat,Neutered Male,,2.0,Domestic Shorthair,Brown Tabby,,11/10/2020,Stray,Over the Counter,Foster,Underage or Underweight,11/18/2020,Tuesday,Wednesday
A059099,,Cat,Neutered Male,,2.0,Domestic Shorthair,Brown Tabby,981020039188675,01/05/2021,Foster,Over the Counter,Adoption,Walk-In,01/13/2021,Tuesday,Wednesday
A059106,China,Dog,Female,2,,Pit Bull,White,,11/10/2020,Owner Surrendered,OTC APPT,Transfer,,11/24/2020,Tuesday,Tuesday
A059135,Mona,Dog,Spayed Female,4,6.0,American Bully,Tricolor,981020039184982,11/13/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/29/2020,Friday,Sunday
A059141,Bones,Cat,Neutered Male,2,,Domestic Shorthair,Gray,982126056572921,10/13/2021,Stray,Animal Control,Adoption,Walk-In,10/24/2021,Wednesday,Sunday
A059159,Jessie,Cat,Neutered Male,3,,Domestic Shorthair,Black,991001000981528,10/08/2021,Stray,Over the Counter,Foster,FINDER,10/08/2021,Friday,Friday
A059159,Jessie,Cat,Neutered Male,3,,Domestic Shorthair,Black,991001000981528,10/21/2021,Foster,Over the Counter,Adoption,Walk-In,10/21/2021,Thursday,Thursday
A059162,Fergie,Dog,Neutered Male,8,,Yorkshire Terrier,Tan,981020039192348,11/16/2020,Stray,Animal Control,Adoption,Website Information,12/02/2020,Monday,Wednesday
A059164,Sebastian,Cat,Neutered Male,2,,Domestic Shorthair,Gray,981020039158881,11/16/2020,Stray,Over the Counter,Adoption,Walk-In,11/24/2020,Monday,Tuesday
A059164,Sebastian,Cat,Neutered Male,2,,Domestic Shorthair,Gray,981020039158881,12/01/2020,Temporary,,Return to Owner,,12/02/2020,Tuesday,Wednesday
A059167,Virginia Wolfe,Cat,Spayed Female,1,,Domestic Shorthair,Tortie,981020039179522,11/17/2020,Stray,Over the Counter,Adoption,,01/02/2021,Tuesday,Saturday
A059177,Hei Hei,Bird,Male,,7.0,Chicken,Brown,,11/19/2020,Owner Surrendered,OTC APPT,Adoption,Website Information,11/25/2020,Thursday,Wednesday
A059192,Don,Cat,Neutered Male,,0.8,Domestic Longhair,White,,11/20/2020,Stray,Animal Control,Foster,Underage or Underweight,11/20/2020,Friday,Friday
A059192,Don,Cat,Neutered Male,,0.8,Domestic Longhair,White,981020039166462,12/30/2020,Foster,Over the Counter,Adoption,Walk-In,12/31/2020,Wednesday,Thursday
A059192,Don,Cat,Neutered Male,,0.8,Domestic Longhair,White,981020039166462,12/22/2020,Foster,Over the Counter,Foster,Adoption,12/22/2020,Tuesday,Tuesday
A059194,Charlie,Dog,Neutered Male,3,,Shih Tzu,Black,981020039162772,11/20/2020,Stray,Over the Counter,Adoption,,11/28/2020,Friday,Saturday
A059204,,Dog,Male,3,,Miniature Poodle,Cream,,11/20/2020,Stray,Animal Control,Return to Owner,Outside of Shelter,11/23/2020,Friday,Monday
A059206,Queen,Dog,Spayed Female,1,,Pit Bull,Brown,,11/21/2020,Confiscated,Animal Cruelty,Return to Owner,,11/24/2020,Saturday,Tuesday
A059206,Queen,Dog,Spayed Female,1,,Pit Bull,Brown,,11/24/2020,Owner Surrendered,Over the Counter,Foster,Nursing,12/04/2020,Tuesday,Friday
A059206,Queen,Dog,Spayed Female,1,,Pit Bull,Brown,981020039162637,12/28/2020,Foster,Over the Counter,Adoption,Walk-In,12/28/2020,Monday,Monday
A059206,Queen,Dog,Spayed Female,1,,Pit Bull,Brown,981020039162637,12/12/2020,Foster,Over the Counter,Foster,Adoption,12/12/2020,Saturday,Saturday
A059209,Onyx,Dog,Male,1,,Pit Bull,Black,52071,11/21/2020,Confiscated,Animal Cruelty,Return to Owner,,11/24/2020,Saturday,Tuesday
A059214,,Dog,Male,,0.75,Pit Bull,Brown,,11/21/2020,Confiscated,Animal Cruelty,Return to Owner,,11/24/2020,Saturday,Tuesday
A059214,,Dog,Male,,0.75,Pit Bull,Brown,,11/24/2020,Owner Surrendered,Over the Counter,Foster,Nursing,12/04/2020,Tuesday,Friday
A059214,,Dog,Male,,0.75,Pit Bull,Brown,,12/18/2020,Foster,Over the Counter,Transfer,,12/18/2020,Friday,Friday
A059216,Johnny,Dog,Neutered Male,1,,Pit Bull,Brown,981020031571296,11/21/2020,Stray,Animal Control,Return to Owner,Outside of Shelter,11/21/2020,Saturday,Saturday
A059220,,Cat,Female,4,,Domestic Shorthair,Brown Tabby,,11/21/2020,Stray,Animal Control,Euthanized,Vet Clinic,11/21/2020,Saturday,Saturday
A059222,Athens,Dog,Spayed Female,3,6.0,Australian Shepherd,Brown Brindle,981020025615382,11/22/2020,Owner Surrendered,Over the Counter,Adoption,Website Information,11/25/2020,Sunday,Wednesday
A059222,Athens,Dog,Spayed Female,3,6.0,Australian Shepherd,Brown Brindle,981020025615382,01/01/2023,Stray,Animal Control,Return to Owner,Walk-In,01/04/2023,Sunday,Wednesday
A059222,Athens,Dog,Spayed Female,3,6.0,Australian Shepherd,Brown Brindle,981020025615382,01/04/2023,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/16/2023,Wednesday,Monday
A059229,Carter,Dog,Neutered Male,1,6.0,Pit Bull,Gray,981020039195455,11/24/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/15/2020,Tuesday,Tuesday
A059232,Spider,Cat,Neutered Male,3,,Siamese,Flame Point,981020039192526,11/24/2020,Stray,Animal Control,Transfer,Rescue Group,12/09/2020,Tuesday,Wednesday
A059235,Molly,Dog,Spayed Female,15,,Yorkshire Terrier,Silver,,11/24/2020,Stray,Over the Counter,Return to Owner,,11/24/2020,Tuesday,Tuesday
A059244,Reese,Dog,Spayed Female,4,,Labrador Retriever,Brown,981020039183282,11/26/2020,Stray,Animal Control,Return to Owner,,11/28/2020,Thursday,Saturday
A059246,Sasha,Dog,Female,,6.0,Pit Bull,Tan,985112011749329,11/26/2020,Stray,Animal Control,Return to Owner,Outside of Shelter,11/26/2020,Thursday,Thursday
A059251,Blue,Dog,Female,2,,Pit Bull,Brown Brindle,,11/27/2020,Stray,Over the Counter,Return to Owner,,11/28/2020,Friday,Saturday
A059253,Sugar,Cat,Neutered Male,,1.85,Domestic Shorthair,Gray,,11/27/2020,Stray,Animal Control,Foster,Underage or Underweight,11/30/2020,Friday,Monday
A059253,Sugar,Cat,Neutered Male,,1.85,Domestic Shorthair,Gray,981020039190585,12/19/2020,Foster,Over the Counter,Foster,Adoption,12/19/2020,Saturday,Saturday
A059253,Sugar,Cat,Neutered Male,,1.85,Domestic Shorthair,Gray,981020039190585,01/13/2021,Foster,Over the Counter,Adoption,Walk-In,01/13/2021,Wednesday,Wednesday
A059259,,Other,Unknown,1,,Squirrel,Gray,,11/28/2020,Stray,Animal Control,Euthanized,Vet Clinic,11/28/2020,Saturday,Saturday
A059268,,Bird,Unknown,,0.35,Chicken,Black,,11/29/2020,Stray,Animal Control,Foster,,11/30/2020,Sunday,Monday
A059268,,Bird,Unknown,,0.35,Chicken,Black,,12/22/2020,Foster,Over the Counter,Adoption,,12/22/2020,Tuesday,Tuesday
A059269,,Other,Male,1,,Squirrel,Gray,,11/29/2020,Stray,Animal Control,Euthanized,Wildlife,11/29/2020,Sunday,Sunday
A059270,Bumble Bee,Cat,Spayed Female,,2.0,Domestic Shorthair,Orange,,11/30/2020,Stray,Animal Control,Foster,,12/03/2020,Monday,Thursday
A059270,Bumble Bee,Cat,Spayed Female,,2.0,Domestic Shorthair,Orange,981020039183237,01/13/2021,Foster,Over the Counter,Adoption,Walk-In,01/13/2021,Wednesday,Wednesday
A059270,Bumble Bee,Cat,Spayed Female,,2.0,Domestic Shorthair,Orange,981020039183237,12/18/2020,Foster,Over the Counter,Foster,Adoption,12/19/2020,Friday,Saturday
A059272,Moosetracks,Cat,Neutered Male,2,,Domestic Shorthair,Brown Tabby,981020039182616,12/15/2020,Foster,Over the Counter,Adoption,Walk-In,12/15/2020,Tuesday,Tuesday
A059272,Moosetracks,Cat,Neutered Male,2,,Domestic Shorthair,Brown Tabby,981020039182616,11/30/2020,Stray,Animal Control,Foster,Adoption,12/11/2020,Monday,Friday
A059282,Merry,Cat,Spayed Female,2,,Domestic Shorthair,White,981020039169508,12/23/2020,Foster,Over the Counter,Adoption,Website Information,12/30/2020,Wednesday,Wednesday
A059282,Merry,Cat,Spayed Female,2,,Domestic Shorthair,White,,12/01/2020,Stray,Animal Control,Foster,Nursing,12/04/2020,Tuesday,Friday
A059284,Pumpkin,Cat,Spayed Female,,0.85,Domestic Shorthair,Torbie,,12/01/2020,Stray,Animal Control,Foster,Underage or Underweight,12/04/2020,Tuesday,Friday
A059284,Pumpkin,Cat,Spayed Female,,0.85,Domestic Shorthair,Torbie,981020039194120,01/04/2021,Foster,Over the Counter,Foster,Adoption,01/04/2021,Monday,Monday
A059284,Pumpkin,Cat,Spayed Female,,0.85,Domestic Shorthair,Torbie,981020039194120,01/14/2021,Foster,Over the Counter,Adoption,Walk-In,01/14/2021,Thursday,Thursday
A059284,Pumpkin,Cat,Spayed Female,,0.85,Domestic Shorthair,Torbie,981020039194120,08/06/2021,Owner Surrendered,OTC APPT,Adoption,Walk-In,08/11/2021,Friday,Wednesday
A059285,Loki,Cat,Neutered Male,,0.85,Domestic Shorthair,Black Tabby,981020039156916,01/04/2021,Foster,Over the Counter,Foster,Adoption,01/04/2021,Monday,Monday
A059285,Loki,Cat,Neutered Male,,0.85,Domestic Shorthair,Black Tabby,,12/01/2020,Stray,Animal Control,Foster,Underage or Underweight,12/04/2020,Tuesday,Friday
A059285,Loki,Cat,Neutered Male,,0.85,Domestic Shorthair,Black Tabby,981020039156916,02/23/2021,Foster,Over the Counter,Adoption,Walk-In,02/23/2021,Tuesday,Tuesday
A059287,Jasper,Cat,Neutered Male,,2.0,Domestic Shorthair,Brown Tabby,981020039198460,02/03/2021,Foster,Over the Counter,Adoption,Walk-In,02/03/2021,Wednesday,Wednesday
A059287,Jasper,Cat,Neutered Male,,2.0,Domestic Shorthair,Brown Tabby,,12/02/2020,Stray,Over the Counter,Foster,Behavior Manageable,12/02/2020,Wednesday,Wednesday
A059287,Jasper,Cat,Neutered Male,,2.0,Domestic Shorthair,Brown Tabby,981020039198460,01/08/2021,Foster,Over the Counter,Foster,Adoption,01/08/2021,Friday,Friday
A059290,Scooter,Dog,Male,12,,Bichon Frise,White,52136,12/03/2020,Confiscated,Owner Hospitalized,Return to Owner,,12/03/2020,Thursday,Thursday
A059303,Tyrone Power,Cat,Neutered Male,1,3.0,Domestic Shorthair,Orange Tabby,981020037863032,12/04/2020,Transfer,Transfer,Adoption,,12/10/2020,Friday,Thursday
A059316,Toffee,Other,Female,4,,Guinea Pig,Brown,,12/04/2020,Transfer,,Adoption,Walk-In,12/06/2020,Friday,Sunday
A059318,Cinnamon,Other,Female,4,,Guinea Pig,Black,,12/04/2020,Transfer,,Adoption,Walk-In,12/13/2020,Friday,Sunday
A059327,Nana,Dog,Female,2,,Siberian Husky,White,985113004025229,12/05/2020,Stray,Animal Control,Return to Owner,Outside of Shelter,12/05/2020,Saturday,Saturday
A059329,Stella,Dog,Female,1,,Pit Bull,Tan,,12/05/2020,Stray,Animal Control,Return to Owner,Phone Call,12/05/2020,Saturday,Saturday
A059332,Lucky,Cat,Neutered Male,10,,Domestic Shorthair,Black,981020025505963,02/28/2021,Foster,Over the Counter,Adoption,Website Information,02/28/2021,Sunday,Sunday
A059332,Lucky,Cat,Neutered Male,10,,Domestic Shorthair,Black,,12/06/2020,Owner Surrendered,OTC APPT,Foster,Illness Minor,12/22/2020,Sunday,Tuesday
A059332,Lucky,Cat,Neutered Male,10,,Domestic Shorthair,Black,981020025505963,06/13/2022,Transfer,Transfer,Adoption,Walk-In,09/04/2022,Monday,Sunday
A059335,Logan,Cat,Neutered Male,,0.85,Domestic Shorthair,Black,,12/06/2020,Stray,Over the Counter,Foster,Underage or Underweight,12/07/2020,Sunday,Monday
A059335,Logan,Cat,Neutered Male,,0.85,Domestic Shorthair,Black,981020039174766,01/27/2021,Foster,Over the Counter,Adoption,Walk-In,01/27/2021,Wednesday,Wednesday
A059335,Logan,Cat,Neutered Male,,0.85,Domestic Shorthair,Black,981020039174766,01/12/2021,Foster,Over the Counter,Foster,Adoption,01/13/2021,Tuesday,Wednesday
A059343,Kenai,Dog,Neutered Male,2,,Golden Retriever,Brown,985113003804010,12/08/2020,Stray,Animal Control,Return to Owner,Walk-In,12/08/2020,Tuesday,Tuesday
A059344,Bruiser,Dog,Male,,,Old English Bulldog,Brown Brindle,941000013550118,12/29/2020,Stray,Animal Control,Return to Owner,Outside of Shelter,12/29/2020,Tuesday,Tuesday
A059350,O'Malley,Cat,Neutered Male,2,,Domestic Shorthair,Orange Tabby,981020039157526,12/09/2020,Owner Surrendered,Animal Control,Adoption,,12/19/2020,Wednesday,Saturday
A059351,Hop Along,Dog,Female,1,,Pit Bull,White,985113003553344,12/09/2020,Stray,Animal Control,Return to Owner,Outside of Shelter,12/09/2020,Wednesday,Wednesday
A059357,Mazzi,Dog,Neutered Male,3,,Miniature Poodle,Tan,981020039158333,12/10/2020,Stray,Over the Counter,Foster,Adoption,12/23/2020,Thursday,Wednesday
A059357,Mazzi,Dog,Neutered Male,3,,Miniature Poodle,Tan,981020039158333,12/28/2020,Foster,Over the Counter,Adoption,Referral,12/28/2020,Monday,Monday
A059363,Twinkie,Cat,Neutered Male,4,,Domestic Shorthair,Orange Tabby,,12/10/2020,Confiscated,Owner Hospitalized,Euthanized,Vet Clinic,12/10/2020,Thursday,Thursday
A059378,Augustus,Cat,Neutered Male,,,Domestic Shorthair,Orange Tabby,981020039177060,12/11/2020,Transfer,,Adoption,Website Information,12/11/2020,Friday,Friday
A059392,Squish,Cat,Neutered Male,10,,Domestic Shorthair,Gray Tabby,981020039159066,12/13/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/04/2021,Sunday,Monday
A059399,Butternut,Cat,Spayed Female,2,,Domestic Medium Hair,Brown Tabby,981020039196320,12/14/2020,Stray,Over the Counter,Foster,Adoption,01/07/2021,Monday,Thursday
A059399,Butternut,Cat,Spayed Female,2,,Domestic Medium Hair,Brown Tabby,981020039196320,03/14/2021,Foster,Over the Counter,Adoption,Walk-In,03/31/2021,Sunday,Wednesday
A059404,Athena,Cat,Spayed Female,,4.0,Domestic Shorthair,Calico,981020039177999,12/14/2020,Owner Surrendered,Over the Counter,Foster,Adoption,12/19/2020,Monday,Saturday
A059404,Athena,Cat,Spayed Female,,4.0,Domestic Shorthair,Calico,981020039177999,01/13/2021,Foster,Over the Counter,Adoption,Walk-In,01/13/2021,Wednesday,Wednesday
A059406,Charming,Cat,Male,7,,Domestic Shorthair,Black Tabby,985112004151841,12/14/2020,Confiscated,Owner Arrested,Transfer,Private Animal Shelter,12/30/2020,Monday,Wednesday
A059410,Serenity,Dog,Spayed Female,2,4.0,Pit Bull,Tan,982091061639578,12/15/2020,Stray,Over the Counter,Foster,,01/03/2021,Tuesday,Sunday
A059410,Serenity,Dog,Spayed Female,2,4.0,Pit Bull,Tan,982091061639578,01/06/2021,Foster,Over the Counter,Adoption,Referral,01/06/2021,Wednesday,Wednesday
A059419,Willow Grace,Cat,Spayed Female,,,Domestic Shorthair,Black Tabby,981020039166892,01/28/2021,Foster,Over the Counter,Foster,Adoption,01/28/2021,Thursday,Thursday
A059419,Willow Grace,Cat,Spayed Female,,,Domestic Shorthair,Black Tabby,,12/15/2020,Stray,Over the Counter,Foster,Underage or Underweight,12/15/2020,Tuesday,Tuesday
A059419,Willow Grace,Cat,Spayed Female,,,Domestic Shorthair,Black Tabby,981020039166892,04/01/2021,Foster,Over the Counter,Adoption,Walk-In,04/01/2021,Thursday,Thursday
A059423,Luna,Cat,Spayed Female,,9.0,Domestic Shorthair,Black,981020039189900,12/15/2020,Transfer,Transfer,Foster,Adoption,12/23/2020,Tuesday,Wednesday
A059423,Luna,Cat,Spayed Female,,9.0,Domestic Shorthair,Black,981020039189900,01/21/2021,Foster,Over the Counter,Adoption,Walk-In,01/21/2021,Thursday,Thursday
A059424,Batman,Cat,Neutered Male,,9.0,Domestic Shorthair,Black,981020039198287,01/21/2021,Foster,Over the Counter,Adoption,Walk-In,01/21/2021,Thursday,Thursday
A059424,Batman,Cat,Neutered Male,,9.0,Domestic Shorthair,Black,981020039198287,12/15/2020,Transfer,Transfer,Foster,Adoption,12/23/2020,Tuesday,Wednesday
A059426,Javier,Cat,Neutered Male,3,,Domestic Shorthair,Brown Tabby,981020037585710,12/15/2020,Transfer,Transfer,Foster,Adoption,12/17/2020,Tuesday,Thursday
A059426,Javier,Cat,Neutered Male,3,,Domestic Shorthair,Brown Tabby,981020037585710,12/28/2020,Foster,Over the Counter,Adoption,Walk-In,12/28/2020,Monday,Monday
A059434,Lilly,Cat,Spayed Female,1,6.0,Domestic Shorthair,Gray,981020039171802,12/16/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/22/2020,Wednesday,Tuesday
A059436,Rudy,Dog,Neutered Male,2,,German Shepard,Tan,981020039158871,12/16/2020,Stray,Animal Control,Foster,Adoption,12/27/2020,Wednesday,Sunday
A059436,Rudy,Dog,Neutered Male,2,,German Shepard,Tan,981020039158871,01/13/2021,Foster,Over the Counter,Adoption,Walk-In,01/13/2021,Wednesday,Wednesday
A059443,Kobie,Dog,Neutered Male,,,Pit Bull,Brown,981020039187318,12/28/2020,Foster,Over the Counter,Adoption,Website Information,12/28/2020,Monday,Monday
A059443,Kobie,Dog,Neutered Male,,,Pit Bull,Brown,981020039187318,12/17/2020,Stray,Animal Control,Foster,Adoption,12/23/2020,Thursday,Wednesday
A059456,Zeus,Dog,Male,2,,Pit Bull,Tricolor,,12/18/2020,Confiscated,Bite,Euthanized,Behavior Severe,01/14/2021,Friday,Thursday
A059458,Albus,Cat,Neutered Male,2,,Domestic Shorthair,Gray Tabby,981020039185389,12/18/2020,Stray,Animal Control,Foster,Adoption,12/26/2020,Friday,Saturday
A059458,Albus,Cat,Neutered Male,2,,Domestic Shorthair,Gray Tabby,981020039185389,01/26/2021,Foster,Over the Counter,Adoption,Walk-In,01/26/2021,Tuesday,Tuesday
A059466,,Dog,Female,1,,Pit Bull,White,,12/21/2020,Stray,Over the Counter,Transfer,Animal Shelter,12/21/2020,Monday,Monday
A059468,Hank,Cat,Neutered Male,,0.85,Domestic Shorthair,Black Tabby,981020039177743,12/21/2020,Stray,Animal Control,Foster,,12/21/2020,Monday,Monday
A059468,Hank,Cat,Neutered Male,,0.85,Domestic Shorthair,Black Tabby,981020039177743,02/03/2021,Foster,Over the Counter,Foster,Adoption,02/03/2021,Wednesday,Wednesday
A059468,Hank,Cat,Neutered Male,,0.85,Domestic Shorthair,Black Tabby,981020039177743,03/04/2021,Foster,Over the Counter,Adoption,Referral,03/04/2021,Thursday,Thursday
A059473,,Cat,Spayed Female,1,,Domestic Shorthair,Brown Tabby,981020039171118,12/21/2020,Stray,Animal Control,Foster,Adoption,12/28/2020,Monday,Monday
A059473,,Cat,Spayed Female,1,,Domestic Shorthair,Brown Tabby,981020039171118,01/13/2021,Foster,Over the Counter,Adoption,Walk-In,01/13/2021,Wednesday,Wednesday
A059486,Kane,Dog,Male,2,,Pit Bull,White,981020039196997,12/23/2020,Confiscated,Bite,Return to Owner,,01/09/2021,Wednesday,Saturday
A059486,Kane,Dog,Male,2,,Pit Bull,White,981020039196997,06/24/2021,Owner Surrendered,Animal Control,Euthanized,Behavior Severe,07/20/2021,Thursday,Tuesday
A059490,,Dog,Female,1,,German Shepard,White,,12/23/2020,Stray,Animal Control,Return to Owner,,12/23/2020,Wednesday,Wednesday
A059497,Flash,Dog,Neutered Male,,8.0,Pit Bull,Fawn,981020039157593,01/20/2021,Foster,Over the Counter,Adoption,Website Information,01/20/2021,Wednesday,Wednesday
A059497,Flash,Dog,Neutered Male,,8.0,Pit Bull,Fawn,981020039157593,12/26/2020,Stray,Animal Control,Foster,Adoption,01/06/2021,Saturday,Wednesday
A059499,,Cat,Female,,8.0,Domestic Shorthair,Torbie,,12/27/2020,Stray,Over the Counter,Foster,Behavior Manageable,12/31/2020,Sunday,Thursday
A059499,,Cat,Female,,8.0,Domestic Shorthair,Torbie,,02/14/2021,Foster,Over the Counter,Transfer,Rescue Group,02/14/2021,Sunday,Sunday
A059506,Minnie,Cat,Spayed Female,,2.0,Domestic Medium Hair,Black,981020039158295,02/24/2021,Foster,Over the Counter,Adoption,Walk-In,02/24/2021,Wednesday,Wednesday
A059506,Minnie,Cat,Spayed Female,,2.0,Domestic Medium Hair,Black,981020039158295,01/11/2021,Foster,Over the Counter,Foster,Adoption,01/12/2021,Monday,Tuesday
A059506,Minnie,Cat,Spayed Female,,2.0,Domestic Medium Hair,Black,,12/28/2020,Stray,Over the Counter,Foster,Underage or Underweight,12/29/2020,Monday,Tuesday
A059516,Rocky,Dog,Neutered Male,9,4.0,Coton De Tulear,White,60098,12/29/2020,Stray,Over the Counter,Transfer,Rescue Group,01/09/2021,Tuesday,Saturday
